product_id,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
0A4G5LZWCP,814,3860,4484,2050,4743,4737,3243,2932,4116,5043,5910,2445,915,791,651,514,1515,2070,1933,1126,1962,3801,2953,3181,2515,1687,1303,924,1060,1210,1363,1057,899,1451,1332,679,777,556,328
0AB7PTAD3X,18,131,110,84,401,204,446,164,183,91,78,19,42,64,27,35,115,81,162,120,69,147,167,29,145,135,75,191,103,47,149,101,30,151,6,42,16,4,36
0HLIWH0CA1,625,1591,2119,1317,1931,1925,1832,1207,1254,1709,1671,446,330,667,622,481,905,1384,996,1042,1470,2353,1825,1876,2056,634,676,432,563,718,707,444,531,746,636,391,290,403,198
0UZVWTQ50H,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0W3289OYXV,37,140,172,11,2,3,38,61,0,76,1,41,4,0,0,0,12,68,27,63,3,0,8,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
2O4Z94LNOH,11,34,3,39,2,6,40,0,23,4,27,8,4,1,48,0,3,21,1,2,2,169,13,39,66,32,87,5,29,5,39,99,48,6,3,11,10,75,25
5PCWS3EUMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0
5Q7TNFLZP0,17,2,11,4,0,111,0,0,0,1,2,1,2,44,4,1,14,35,2,111,53,1,1,0,70,23,0,0,2,3,0,0,0,0,0,1,0,1,0
5RPSDK28JR,2138,7051,8804,5290,8524,11770,11488,6747,9203,12901,9900,3534,1758,2902,3215,2199,5029,6138,5147,3342,4377,8169,6346,8415,7865,2623,4825,1834,4991,3877,3897,2343,2517,4315,2786,1455,1847,1706,648
7JJJCPI5I1,11,0,0,0,0,0,24,0,0,28,0,0,15,9,0,0,0,0,1,0,0,18,0,0,41,0,0,0,29,1,0,0,0,13,16,0,0,0,2
8AK5LRZ5VT,60,7,64,23,74,10,4,107,122,3,85,20,8,31,193,9,1,35,32,18,21,6,3,2,23,3,8,10,6,4,61,5,5,7,54,47,8,2,7
8G3QVND4G4,4,7,119,138,114,253,95,41,183,341,370,38,529,137,35,43,17,276,209,189,201,234,91,81,15,114,113,146,83,60,113,73,61,47,61,67,39,48,12
8U5TGHTE3K,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,1,1,3,6,1,0,0,2,11,12,6,2,7,1,11,4,1,5,4,7,4,4
AZZNRHR3YP,139,3,29,3,169,375,151,89,46,0,124,49,173,17,20,17,131,13,121,4,28,42,51,2,24,34,183,20,166,91,26,126,141,128,38,46,58,41,0
COSLJ5LVBV,11,60,17,382,87,201,188,114,38,290,212,137,47,19,77,11,18,20,42,98,136,192,36,67,50,44,97,11,14,102,35,31,43,65,6,23,8,17,12
FA7OOL7Z3T,586,2106,3329,2009,2947,2345,2185,2673,2094,1722,862,210,258,231,235,201,148,234,39,86,134,180,129,91,635,38,326,204,1525,42,191,132,125,173,453,219,145,119,77
G5HEPH9A2T,846,1803,3046,1875,3106,6129,4390,3278,3941,6365,3808,1265,1203,1408,1134,858,1249,2499,3159,1452,2330,3464,3085,2391,1755,1777,1167,1252,1557,1720,2105,1470,1307,2355,1756,1186,925,784,351
GJROWT9RPV,898,1047,1012,316,1278,7079,2746,1026,763,2781,3621,640,508,882,728,397,1095,2289,1299,1273,692,1781,750,1881,1082,584,1084,1291,810,413,630,616,406,891,424,444,414,469,241
H6I7VPD3HT,92,8,7,6,41,76,173,12,281,0,63,2,5,115,79,2,1,124,5,2,97,46,34,2,6,8,26,80,0,51,7,2,7,37,21,8,14,10,3
HGJK5XE5G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2IYFZIO6X,285,952,1557,1108,2532,2565,2285,1950,2212,2207,1963,695,353,382,434,196,704,1113,1196,468,801,1569,1716,2281,1495,1233,788,596,696,1164,965,516,535,641,1135,368,389,317,204
K7UMH2OQR5,1,11,1,81,7,14,19,1,6,121,6,2,1,9,91,9,40,47,20,15,11,12,118,47,18,38,321,37,22,50,83,49,17,20,14,26,11,82,17
KBPHROW5HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPLMIIN3W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH62FHO1A6,16,6,56,31,57,181,0,0,0,0,54,0,33,0,0,0,4,0,0,3,0,21,93,0,0,0,0,24,3,0,21,4,0,2,0,0,0,0,0
LPQH18YYNM,32,155,155,114,97,0,150,1,171,52,109,0,0,2,2,87,0,1,1,1,3,3,0,1,131,36,1,45,0,0,3,2,0,1,15,92,2,5,1
MCFYUL8ZJD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWXFAKV7Y0,525,729,1238,872,863,1139,1466,1282,804,1481,1571,641,913,926,600,537,739,1566,821,1190,876,1881,839,604,797,816,1677,571,872,949,1007,975,698,812,1139,598,917,757,275
MXCNLTSVHH,0,0,0,0,0,13,80,2,1,1,45,0,0,0,0,3,0,3,15,1,0,0,1,1,0,0,0,0,3,0,0,1,4,1,28,1,0,0,0
MYK4H73OQB,11,36,61,72,1,170,146,232,0,155,1,2,6,7,13,4,49,97,19,7,13,8,45,4,10,0,13,7,36,10,6,23,63,13,8,5,34,28,0
O66JVFS978,1107,2708,1341,905,1932,4235,1340,1480,3028,4214,3351,986,448,1255,736,366,1084,1573,819,817,1045,2820,2078,1295,1133,723,1305,1368,945,834,539,599,887,847,708,424,789,407,254
P7UUH8Z9N9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,25,21,3,0,0,0,1,2
PVAPE5GNLE,227,1259,456,393,994,1092,584,677,507,758,640,261,62,78,76,25,226,404,192,313,418,144,492,980,626,239,334,310,136,283,265,149,258,159,42,154,169,58,56
R8EZYK63TN,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RKQNX5PHI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RSVSIRNTSZ,49,186,135,198,305,417,252,447,551,742,446,110,39,144,130,113,294,271,397,102,100,436,293,445,121,84,216,105,111,221,178,85,78,128,166,56,122,37,41
RZ1BJ9ZV9C,175,253,145,153,138,57,38,30,33,154,395,218,330,575,764,663,816,862,758,1095,881,1299,1047,978,1033,353,820,343,698,430,470,282,407,398,208,192,161,229,72
SG1EXRRGE2,30,15,413,311,381,346,357,209,93,249,205,64,68,33,56,11,61,70,149,32,97,190,242,70,98,53,90,80,41,138,75,52,38,77,120,115,19,36,2
STKA6MQ10S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VD51ZQPY9D,903,1398,3260,1662,2822,3507,3152,3569,3860,3637,3428,982,1130,964,873,766,1337,3504,2097,1349,1164,2076,1569,1294,1579,1131,1567,1428,1396,1381,2267,2163,1232,1435,1592,965,765,821,393
WLD5DLYFB0,12,26,17,4,62,133,76,6,138,200,219,24,63,74,61,22,6,186,25,110,95,50,128,70,9,14,93,3,98,48,50,355,51,8,19,53,16,16,4
WS7C94TZ6U,0,1,28,0,0,78,0,92,0,0,0,0,0,0,1,1,0,34,2,17,0,51,48,0,12,17,22,16,48,1,0,0,0,0,0,68,12,0,0
X7R6XY5T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0
XD4I34ED7F,734,1394,1592,1300,1467,2553,2176,2431,2533,2501,3064,850,873,965,848,772,870,2756,1625,1635,1275,2331,1384,840,1482,801,1347,1581,1536,1472,1676,1985,1112,1018,1516,1367,930,682,352
XZ6UVEYK40,604,1397,3121,1967,2355,5176,3380,2670,3655,4360,4765,1936,1315,1360,999,397,1430,2294,7477,2910,1428,2917,2875,3182,2557,1000,1840,1270,1383,2060,2142,1720,1544,1675,1640,1086,1509,1321,473
YRRT480XIZ,74,17,126,165,209,46,26,40,4,60,75,28,5,4,8,7,2,10,6,0,5,30,2,2,48,28,61,2,22,64,9,2,3,53,0,2,19,19,12
Z4N23EOA13,431,1928,1660,1017,1507,2315,1926,2006,2020,2316,1720,490,411,565,823,574,1151,1282,796,1087,828,1804,1187,2299,1348,607,726,675,1154,873,905,830,872,837,790,359,195,174,235
Z6OHD7VB3J,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ZH8YQX1ZL2,18,295,223,334,257,566,407,389,176,184,177,9,27,17,28,36,192,51,142,62,263,148,287,193,99,71,91,71,23,33,147,73,58,145,96,64,38,20,0
ZWL2RHU5YP,140,362,786,407,1126,869,689,567,466,1256,671,136,185,187,223,210,608,587,393,174,214,763,590,540,275,232,587,331,321,316,348,380,186,293,477,337,268,281,124
